node,collocate,cooc,coll_freq,logDice,register
conversational,follow,4,109,5.775,other
conversational,ieee,4,113,5.772,other
conversational,compete,4,117,5.77,other
conversational,training,4,147,5.752,other
conversational,level,4,169,5.739,other
conversational,module,4,190,5.727,other
conversational,generating,3,5,5.424,other
conversational,strategies,3,5,5.424,other
conversational,rethink,3,5,5.424,other
conversational,claybot,3,5,5.424,other
conversational,trail,3,5,5.424,other
conversational,lingual,3,5,5.424,other
conversational,elderly,3,5,5.424,other
conversational,devote,3,5,5.424,other
conversational,debate,3,5,5.424,other
conversational,dcrs,3,6,5.423,other
conversational,viable,3,6,5.423,other
conversational,annotated,3,7,5.423,other
conversational,garner,3,6,5.423,other
conversational,nudge,3,6,5.423,other
conversational,generalized,3,6,5.423,other
conversational,central,3,6,5.423,other
conversational,neutral,3,7,5.423,other
conversational,matter,3,6,5.423,other
conversational,ccr,3,7,5.423,other
conversational,dietary,3,7,5.423,other
conversational,handling,3,6,5.423,other
conversational,cultural,3,7,5.423,other
conversational,trustworthy,3,6,5.423,other
conversational,mixture,3,7,5.423,other
conversational,accessibility,3,7,5.423,other
conversational,muse,3,6,5.423,other
conversational,requirements,3,7,5.423,other
conversational,eat,3,8,5.422,other
conversational,foster,3,8,5.422,other
conversational,typical,3,8,5.422,other
conversational,meal,3,8,5.422,other
conversational,interfaces,3,8,5.422,other
conversational,convrec,3,8,5.422,other
conversational,dominance,3,10,5.421,other
conversational,compromise,3,10,5.421,other
conversational,abstract,3,10,5.421,other
conversational,reformulation,3,10,5.421,other
conversational,building,3,10,5.421,other
conversational,vague,3,9,5.421,other
conversational,encounter,3,10,5.421,other
conversational,persuasion,3,9,5.421,other
conversational,explanations,3,10,5.421,other
conversational,believe,3,11,5.42,other
conversational,argue,3,11,5.42,other
conversational,caregiver,3,11,5.42,other
conversational,fair,3,11,5.42,other
conversational,revisit,3,11,5.42,other
conversational,autonomously,3,12,5.419,other
conversational,expectation,3,12,5.419,other
conversational,practitioner,3,12,5.419,other
conversational,demonstration,3,13,5.419,other
conversational,iii,3,12,5.419,other
conversational,availability,3,12,5.419,other
